accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,acc_magnitude,gyro_magnitude,mean_acceleration,std_acceleration,variance_acceleration,signal_magnitude_area,tilt_angle_x,tilt_angle_y,activity,stability,risk_level,fall_detected,fall_type
0.9643,-0.1386,8.6811,-1.2304,-3.5677,1.6639,8.7356,4.1244,3.1689,3.9236,15.3949,3.2613,6.3375,-0.9091,Walking,Stable,LOW,0,No Fall
-0.0574,-0.1492,9.9908,0.283,0.3885,0.1608,9.9921,0.5069,3.2614,4.7586,22.6439,3.3991,-0.3293,-0.8555,Standing,Stable,LOW,0,No Fall
0.3111,-0.255,9.2036,-0.1584,-8.9752,2.2855,9.2124,9.263,3.0866,4.3316,18.7623,3.2566,1.9352,-1.5861,Walking,Stable,LOW,0,No Fall
6.112,0.2063,2.0977,-8.5031,0.2696,3.984,6.4653,9.394,2.8053,2.4624,6.0634,2.8053,70.9728,1.8285,Walking,Unstable,CRITICAL,1,Forward Fall
0.2153,-0.0767,9.9047,0.11,1.3139,-0.2425,9.9073,1.3406,3.3478,4.638,21.5108,3.3989,1.2453,-0.4438,Standing,Stable,LOW,0,No Fall
-0.0079,-0.0678,9.8826,-0.362,-0.3825,0.0725,9.8828,0.5317,3.269,4.6766,21.8706,3.3194,-0.0457,-0.3928,Sitting,Stable,LOW,0,No Fall
0.7597,0.4692,9.7451,-0.463,-0.2576,-0.5644,9.7859,0.7742,3.658,4.3059,18.5405,3.658,4.4524,2.748,Walking,Stable,LOW,0,No Fall
6.6862,-0.1389,3.1535,-4.1251,-7.6356,0.8789,7.3939,8.723,3.2336,2.7869,7.7668,3.3262,64.7277,-1.0764,Walking,Unstable,CRITICAL,1,Forward Fall
0.0109,-0.0242,9.9311,0.045,0.0333,0.1615,9.9311,0.1709,3.3059,4.6847,21.9466,3.3221,0.0631,-0.1397,Sitting,Stable,LOW,0,No Fall
0.0272,-0.0593,9.2702,-2.7268,-3.0524,-1.342,9.2704,4.3074,3.0794,4.3777,19.1644,3.1189,0.1684,-0.3666,Walking,Stable,LOW,0,No Fall
0.4994,-0.0065,9.9464,-0.3205,3.2798,-1.1387,9.9589,3.4865,3.4798,4.5773,20.9513,3.4841,2.8745,-0.0374,Walking,Stable,LOW,0,No Fall
0.6448,0.4355,8.5869,-2.2928,2.0781,2.4256,8.6221,3.9318,3.2224,3.7942,14.3963,3.2224,4.2888,2.8954,Walking,Stable,LOW,0,No Fall
0.9062,0.1991,10.1274,7.644,-5.2115,0.4656,10.1698,9.2632,3.7443,4.5228,20.4556,3.7443,5.1124,1.122,Walking,Unstable,MEDIUM,0,No Fall
0.8031,0.0741,9.577,-6.5936,3.3902,1.2915,9.6109,7.5257,3.4848,4.3182,18.6465,3.4848,4.7934,0.4418,Walking,Stable,LOW,0,No Fall
0.1921,-0.722,8.8408,-3.0113,-9.0965,2.2865,8.8723,9.851,2.7703,4.3087,18.5647,3.2516,1.2404,-4.6678,Standing,Unstable,HIGH,0,No Fall
-0.1764,0.15,9.691,0.3366,-0.4515,0.5021,9.6938,0.7545,3.2215,4.5766,20.945,3.3391,-1.0428,0.8866,Standing,Stable,LOW,0,No Fall
0.5266,0.1882,9.7156,-1.8505,-4.481,-2.6032,9.7317,5.5028,3.4768,4.4137,19.4804,3.4768,3.102,1.1083,Walking,Stable,LOW,0,No Fall
0.0841,0.1191,9.8629,-0.0574,-0.0749,-0.1637,9.864,0.189,3.3554,4.6015,21.1741,3.3554,0.4888,0.6917,Sitting,Stable,LOW,0,No Fall
0.1964,-0.0197,9.6529,0.025,0.1069,0.0107,9.6549,0.1103,3.2765,4.5096,20.3367,3.2897,1.1657,-0.117,Standing,Stable,LOW,0,No Fall
1.1531,-1.1705,10.0123,1.2624,2.0011,-1.9613,10.1462,3.0732,3.3316,4.8182,23.2155,4.112,6.5256,-6.6247,Standing,Unstable,HIGH,0,No Fall
0.0906,-0.3148,9.6028,-1.7107,0.9097,-2.5821,9.6084,3.2282,3.1262,4.5826,21.0005,3.336,0.5402,-1.8774,Walking,Stable,LOW,0,No Fall
-0.0462,0.1517,9.3776,-7.3874,4.7008,-2.6153,9.3789,9.1385,3.161,4.3965,19.3293,3.1918,-0.2821,0.9266,Walking,Stable,LOW,0,No Fall
0.0402,0.1647,9.9775,1.1917,-0.9138,-0.3408,9.979,1.5399,3.3941,4.6554,21.6732,3.3941,0.2306,0.9457,Standing,Stable,LOW,0,No Fall
0.4961,-0.3095,9.6738,-0.6799,-0.7218,-4.5559,9.6915,4.6626,3.2868,4.5283,20.5051,3.4931,2.934,-1.8301,Walking,Stable,LOW,0,No Fall
0.7791,0.1363,10.1283,-0.2608,1.9822,1.6636,10.1591,2.6009,3.6812,4.5663,20.8512,3.6812,4.3984,0.7687,Walking,Stable,LOW,0,No Fall
-0.0431,0.0495,9.8769,-0.4889,1.1082,0.0798,9.8771,1.2139,3.2944,4.6547,21.6658,3.3231,-0.2499,0.2869,Standing,Stable,LOW,0,No Fall
0.7675,0.1027,9.8087,-5.8971,-2.6179,-4.2776,9.8392,7.7412,3.5596,4.4271,19.599,3.5596,4.4738,0.5981,Walking,Stable,LOW,0,No Fall
0.0627,-0.1013,10.0868,-0.3626,-0.1279,0.0479,10.0875,0.3875,3.3494,4.7645,22.7007,3.4169,0.3559,-0.5752,Standing,Stable,LOW,0,No Fall
0.7394,0.0639,9.7338,-0.6622,2.0276,0.9946,9.7621,2.3535,3.5124,4.4079,19.4294,3.5124,4.3438,0.3749,Walking,Stable,LOW,0,No Fall
0.3451,0.2147,9.7287,-4.5189,-0.9592,1.2162,9.7372,4.777,3.4295,4.4545,19.8427,3.4295,2.0314,1.2633,Walking,Stable,LOW,0,No Fall
0.1772,-0.0398,9.83,0.4834,-1.3958,0.4532,9.8317,1.5451,3.3225,4.6024,21.1819,3.349,1.0329,-0.2322,Standing,Stable,LOW,0,No Fall
0.0687,-0.234,9.5253,0.8595,0.7288,-0.2643,9.5284,1.1575,3.12,4.5309,20.5292,3.276,0.413,-1.407,Standing,Stable,LOW,0,No Fall
0.4955,0.3636,9.6679,5.5406,3.3953,1.4415,9.6874,6.6561,3.509,4.3553,18.9687,3.509,2.9321,2.151,Walking,Stable,LOW,0,No Fall
0.0329,-0.0455,9.9314,-0.0078,0.0174,-0.1895,9.9315,0.1904,3.3063,4.6848,21.9469,3.3366,0.19,-0.2623,Sitting,Stable,LOW,0,No Fall
0.0055,0.2506,9.6778,1.7857,0.8486,-0.1421,9.681,1.9822,3.3113,4.5029,20.2761,3.3113,0.0326,1.4831,Standing,Stable,LOW,0,No Fall
0.0665,0.1,9.8574,0.3135,-0.2356,-0.1361,9.8582,0.4151,3.3413,4.6076,21.2302,3.3413,0.3866,0.581,Sitting,Stable,LOW,0,No Fall
0.0762,0.0213,9.9041,-0.5619,-0.5253,0.0614,9.9045,0.7717,3.3339,4.6459,21.5848,3.3339,0.4408,0.123,Standing,Stable,LOW,0,No Fall
0.2891,0.4255,9.2804,-1.7339,1.4659,-0.7786,9.2946,2.4003,3.3316,4.2068,17.697,3.3316,1.7822,2.6236,Walking,Stable,LOW,0,No Fall
0.0538,-0.1359,9.9677,-0.4142,0.3697,-0.1891,9.9687,0.5866,3.2952,4.7188,22.2669,3.3858,0.3091,-0.781,Standing,Stable,LOW,0,No Fall
0.1052,-0.0247,9.7921,0.4845,0.5043,-0.0115,9.7927,0.6994,3.2909,4.5974,21.1361,3.3074,0.6154,-0.1447,Standing,Stable,LOW,0,No Fall
-0.0191,0.0313,9.6567,0.1663,-0.431,0.2718,9.6568,0.536,3.223,4.5494,20.6968,3.2357,-0.1133,0.1857,Standing,Stable,LOW,0,No Fall
0.0039,-0.0742,9.797,0.0859,0.2215,0.0352,9.7973,0.2401,3.2422,4.6351,21.4837,3.2917,0.0229,-0.4341,Sitting,Stable,LOW,0,No Fall
-0.106,-0.1118,9.6365,-1.1468,-0.3403,0.3387,9.6377,1.2432,3.1396,4.594,21.105,3.2848,-0.6303,-0.6646,Standing,Stable,LOW,0,No Fall
0.1086,-0.0395,9.6019,0.4206,0.1409,0.5454,9.6026,0.703,3.2237,4.5105,20.3445,3.25,0.6481,-0.2354,Standing,Stable,LOW,0,No Fall
0.1592,-0.0018,9.7642,-0.4295,0.0658,-0.0552,9.7655,0.438,3.3072,4.5662,20.8506,3.3084,0.9339,-0.0105,Standing,Stable,LOW,0,No Fall
0.0032,0.0476,9.8978,-0.4349,-0.1541,-0.1248,9.8979,0.4779,3.3162,4.6539,21.659,3.3162,0.0184,0.2754,Sitting,Stable,LOW,0,No Fall
0.0813,-0.1881,9.8172,0.587,0.5172,0.187,9.8193,0.8044,3.2368,4.6543,21.6629,3.3622,0.4741,-1.0975,Standing,Stable,LOW,0,No Fall
-0.0926,-0.1251,9.5808,-2.5059,2.4109,0.9336,9.5821,3.6005,3.121,4.5678,20.8648,3.2662,-0.554,-0.7483,Walking,Stable,LOW,0,No Fall
0.0165,0.0435,9.8422,0.0524,-0.2997,0.2278,9.8423,0.3801,3.3007,4.6255,21.3954,3.3007,0.0961,0.2532,Sitting,Stable,LOW,0,No Fall
0.9148,-0.0675,9.8324,-1.2635,-1.2426,0.5149,9.8751,1.8454,3.5599,4.4534,19.8329,3.6049,5.3155,-0.3917,Walking,Stable,LOW,0,No Fall
0.0321,6.173,4.2242,6.7226,-6.2285,-2.927,7.48,9.6206,3.4765,2.5622,6.5646,3.4765,0.2462,55.6154,Standing,Unstable,CRITICAL,1,Side Fall Right
-5.8513,0.5114,2.9502,5.9353,14.8142,1.0143,6.5729,15.9912,-0.7966,3.7103,13.7666,3.1043,-62.9009,4.4624,Walking,Unstable,CRITICAL,1,Backward Fall
-0.0069,-0.2578,9.7326,0.1885,-0.2545,-0.1939,9.7361,0.3714,3.156,4.6515,21.6367,3.3325,-0.0406,-1.5174,Standing,Stable,LOW,0,No Fall
-0.0453,0.0422,9.7921,0.4596,0.2372,0.0514,9.7923,0.5198,3.263,4.6169,21.3158,3.2932,-0.2652,0.247,Sitting,Stable,LOW,0,No Fall
-0.1855,-0.099,9.8177,-0.1335,0.4946,-0.0374,9.8199,0.5137,3.1777,4.6953,22.0455,3.3674,-1.0823,-0.5774,Standing,Stable,LOW,0,No Fall
0.4553,0.2388,8.8858,-0.4336,-4.3119,0.2905,8.9007,4.3433,3.1933,4.0262,16.2102,3.1933,2.9322,1.5373,Walking,Stable,LOW,0,No Fall
-0.4602,4.6969,8.1124,-7.9749,9.9299,-2.8171,9.3853,13.0437,4.1164,3.5238,12.4169,4.4232,-2.8109,30.0302,Walking,Unstable,MEDIUM,0,No Fall
0.0986,-0.0594,9.8261,1.1675,0.415,0.3858,9.8268,1.2978,3.2884,4.6233,21.3749,3.328,0.5747,-0.3466,Standing,Stable,LOW,0,No Fall
0.5139,0.1028,9.5935,2.5706,-0.9916,0.2441,9.6078,2.766,3.4034,4.3803,19.1866,3.4034,3.0662,0.6133,Walking,Stable,LOW,0,No Fall
0.0622,0.7515,9.2435,-1.2651,-2.8674,1.2314,9.2742,3.3673,3.3524,4.1751,17.4317,3.3524,0.384,4.6478,Walking,Stable,LOW,0,No Fall
0.0678,-0.018,9.9085,-0.5425,0.2696,0.2595,9.9088,0.659,3.3195,4.6593,21.7091,3.3314,0.3923,-0.1039,Sitting,Stable,LOW,0,No Fall
0.1019,-0.005,9.4965,0.7789,0.8665,-0.5714,9.497,1.2977,3.1978,4.4541,19.8387,3.2011,0.6147,-0.0302,Standing,Stable,LOW,0,No Fall
0.9306,0.309,8.5735,2.5534,-0.7634,1.9917,8.6293,3.3271,3.271,3.758,14.1224,3.271,6.1906,2.0522,Walking,Stable,LOW,0,No Fall
0.2411,6.0327,2.0862,14.0935,22.989,-2.5399,6.3878,27.0845,2.7867,2.4157,5.8358,2.7867,2.1634,70.8065,Standing,Unstable,CRITICAL,1,Side Fall Right
-6.1332,-0.1323,3.7377,1.8532,-0.0975,-1.0774,7.1836,2.1459,-0.8426,4.061,16.4913,3.3344,-58.6247,-1.055,Walking,Unstable,CRITICAL,1,Backward Fall
0.0227,0.0372,9.6727,0.1273,-0.049,-0.1766,9.6728,0.2232,3.2442,4.5456,20.6628,3.2442,0.1346,0.2204,Sitting,Stable,LOW,0,No Fall
0.0282,-0.0766,9.8665,0.0415,-0.0298,-0.1319,9.8669,0.1414,3.2727,4.6627,21.7412,3.3238,0.1635,-0.445,Sitting,Stable,LOW,0,No Fall
0.4551,-0.0253,9.664,1.7787,-4.3721,1.143,9.6747,4.8565,3.3646,4.4587,19.8796,3.3815,2.6963,-0.1497,Walking,Stable,LOW,0,No Fall
-0.1699,0.0177,9.5803,1.9004,1.3414,-0.1998,9.5818,2.3347,3.1427,4.5527,20.7271,3.256,-1.016,0.1061,Standing,Stable,LOW,0,No Fall
-0.286,-0.1196,9.4367,-6.1665,-0.2416,-0.3752,9.4417,6.1826,3.0104,4.5446,20.6532,3.2807,-1.7357,-0.7258,Walking,Stable,LOW,0,No Fall
0.162,-0.1134,9.516,-2.2085,3.1762,0.0718,9.518,3.8692,3.1882,4.4758,20.0328,3.2638,0.9754,-0.6824,Walking,Stable,LOW,0,No Fall
0.1104,0.0133,9.8189,1.0388,-0.227,0.164,9.8195,1.0759,3.3142,4.5997,21.1572,3.3142,0.644,0.0774,Standing,Stable,LOW,0,No Fall
-0.0232,-0.0475,9.8254,-0.1259,0.039,-0.0317,9.8256,0.1356,3.2516,4.6484,21.6079,3.2987,-0.1354,-0.2771,Sitting,Stable,LOW,0,No Fall
0.3103,0.2597,10.0486,1.2009,-2.7373,-1.23,10.0567,3.2324,3.5395,4.6026,21.1841,3.5395,1.7683,1.4799,Walking,Stable,LOW,0,No Fall
0.0326,-0.0946,9.7774,-0.1764,-0.0782,-0.1341,9.7779,0.235,3.2385,4.624,21.3813,3.3015,0.1912,-0.5545,Sitting,Stable,LOW,0,No Fall
0.0593,-0.0118,9.7052,-0.0798,0.1541,0.1354,9.7054,0.2201,3.2509,4.564,20.8297,3.2588,0.3502,-0.0698,Sitting,Stable,LOW,0,No Fall
0.0245,-0.0302,9.7813,0.3694,-0.1173,0.3822,9.7814,0.5443,3.2585,4.6123,21.2736,3.2787,0.1436,-0.1768,Sitting,Stable,LOW,0,No Fall
-0.0629,-0.0169,9.7461,0.6761,-0.3406,0.2194,9.7463,0.7882,3.2221,4.6132,21.2816,3.2753,-0.3698,-0.0991,Standing,Stable,LOW,0,No Fall
-0.0056,-0.0612,9.8071,0.2332,-0.1085,0.1754,9.8073,0.3113,3.2467,4.6389,21.5198,3.2913,-0.033,-0.3578,Sitting,Stable,LOW,0,No Fall
0.3305,0.0113,8.8536,-1.9833,4.0722,-1.8587,8.8598,4.896,3.0652,4.0951,16.7702,3.0652,2.1378,0.0734,Walking,Stable,LOW,0,No Fall
0.641,0.2725,9.0929,8.9742,-4.2551,0.3085,9.1195,9.9367,3.3354,4.0739,16.5967,3.3354,4.0304,1.7121,Walking,Stable,LOW,0,No Fall
0.0813,-0.1241,9.8411,-0.0514,0.3276,0.3002,9.8422,0.4473,3.2661,4.65,21.6222,3.3488,0.4734,-0.7223,Sitting,Stable,LOW,0,No Fall
-0.0743,0.0158,9.8356,-0.1991,0.1781,-0.3436,9.8359,0.4352,3.259,4.6505,21.6269,3.3086,-0.433,0.0922,Sitting,Stable,LOW,0,No Fall
5.2738,-1.0119,1.2329,7.6041,7.858,2.9782,5.5098,11.3332,1.8316,2.6008,6.7644,2.5062,73.1729,-10.5832,Standing,Unstable,CRITICAL,1,Forward Fall
0.1616,0.0881,9.4987,-4.0543,5.2619,1.7547,9.5005,6.8705,3.2495,4.419,19.5277,3.2495,0.9744,0.5312,Walking,Stable,LOW,0,No Fall
0.0208,-0.2042,9.7703,-0.4092,-0.601,-0.0843,9.7725,0.7319,3.1957,4.6499,21.6216,3.3318,0.1222,-1.1971,Standing,Stable,LOW,0,No Fall
-0.0571,0.0573,9.9679,0.5548,0.0358,-0.1941,9.9683,0.5888,3.3227,4.6991,22.0818,3.3608,-0.3283,0.3291,Standing,Stable,LOW,0,No Fall
2.2904,1.3703,9.7347,-3.2114,7.9044,0.7904,10.094,8.5684,4.4651,3.745,14.0251,4.4651,13.115,7.8025,Walking,Unstable,MEDIUM,0,No Fall
0.1736,0.0198,9.7218,-0.2903,-0.1922,0.1272,9.7234,0.3707,3.3051,4.5378,20.5913,3.3051,1.023,0.1166,Standing,Stable,LOW,0,No Fall
0.683,-0.0434,9.4915,7.4979,6.0464,0.8726,9.5161,9.6716,3.377,4.3337,18.7813,3.406,4.1158,-0.2615,Walking,Stable,LOW,0,No Fall
-0.0564,0.0282,9.7598,0.0423,0.2182,-0.0221,9.76,0.2234,3.2439,4.6076,21.2299,3.2815,-0.331,0.1656,Sitting,Stable,LOW,0,No Fall
-0.1525,-0.1254,8.9534,7.0061,-0.3689,3.5617,8.9555,7.8681,2.8918,4.2862,18.3713,3.0771,-0.9758,-0.8023,Walking,Stable,LOW,0,No Fall
-2.7659,-1.0455,9.5603,1.0756,3.1972,-5.0152,10.0072,6.0441,1.9163,5.4506,29.709,4.4573,-16.045,-5.9971,Walking,Unstable,MEDIUM,0,No Fall
0.0402,-0.0686,9.8389,-0.1749,-0.9903,-0.0151,9.8392,1.0057,3.2702,4.645,21.5759,3.3159,0.2339,-0.3992,Standing,Stable,LOW,0,No Fall
-0.282,0.1588,9.0956,1.1173,1.31,-0.1737,9.1013,1.7305,2.9908,4.3205,18.6666,3.1788,-1.7759,0.9997,Walking,Stable,LOW,0,No Fall
-0.0647,0.058,9.7626,0.0693,-0.0094,0.0954,9.763,0.1183,3.252,4.604,21.1966,3.2951,-0.3799,0.3406,Sitting,Stable,LOW,0,No Fall
-0.1048,0.0127,9.7793,0.2467,0.1298,-0.2784,9.7798,0.394,3.2291,4.6319,21.4548,3.2989,-0.6137,0.0745,Sitting,Stable,LOW,0,No Fall
0.7965,0.4056,9.9251,-0.3133,1.2693,2.5975,9.9652,2.9079,3.7091,4.3983,19.3449,3.7091,4.5843,2.3328,Walking,Stable,LOW,0,No Fall
0.3856,-0.0377,9.5169,-2.4064,-0.4582,-2.0699,9.5248,3.2071,3.2883,4.4077,19.428,3.3134,2.3201,-0.227,Walking,Stable,LOW,0,No Fall
0.2939,0.1023,9.5488,1.5839,-0.4675,2.1717,9.5538,2.7283,3.315,4.4086,19.436,3.315,1.763,0.6137,Walking,Stable,LOW,0,No Fall
-0.0871,0.0403,9.6874,0.3866,0.1659,-0.1952,9.6879,0.4638,3.2135,4.578,20.9581,3.2716,-0.5152,0.2386,Standing,Stable,LOW,0,No Fall
0.8208,-1.3757,9.2876,10.017,4.8148,0.7691,9.4248,11.1407,2.9109,4.5973,21.1355,3.8281,4.9963,-8.3935,Standing,Unstable,HIGH,0,No Fall
0.0198,0.0449,9.6708,0.401,-0.6538,0.4893,9.6709,0.9098,3.2452,4.5436,20.6445,3.2452,0.117,0.2661,Standing,Stable,LOW,0,No Fall
0.8518,0.0369,9.6192,5.0231,1.9754,0.7111,9.6569,5.4442,3.5026,4.3378,18.8169,3.5026,5.0604,0.219,Walking,Stable,LOW,0,No Fall
